listing_id,listing_type,room_type,latitude,longitude,guests,bedrooms,superhost,num_reviews,rating_overall,ttm_revenue_native,ttm_avg_rate_native,ttm_occupancy,ttm_reserved_days,ttm_revpar_native,currency
8794330,Entire rental unit,entire_home,64.1499,-21.9573,2.0,1.0,True,1021,4.82,8313483.0,26546.7,0.838,306,22776.7,ISK
8993501,Entire rental unit,entire_home,64.1429,-21.9231,6.0,2.0,True,27,4.85,2598818.0,68768.7,0.11,40,7120.0,ISK
9023967,Entire apartment,entire_home,64.1472,-21.9326,4.0,2.0,True,361,4.92,7813521.0,33883.3,0.603,220,20552.4,ISK
9540749,Entire condo,entire_home,64.1464,-21.8923,4.0,2.0,False,6,5.0,1881508.0,43591.7,0.112,41,4915.7,ISK
9583086,Entire rental unit,entire_home,64.1432,-21.9246,2.0,1.0,True,121,4.98,5571681.0,34965.7,0.364,133,13642.0,ISK
9584700,Private room in rental unit,private_room,64.1438,-21.9625,,,True,104,4.82,187943.0,7404.2,0.063,23,443.8,ISK
9804766,Entire rental unit,entire_home,64.1429,-21.9331,3.0,1.0,True,435,4.88,3798737.0,20419.8,0.488,178,9315.7,ISK
9894234,Private room in home,private_room,64.1437,-21.9336,,,True,258,4.72,2129451.0,18561.0,0.279,102,5328.6,ISK
9976983,Private room in home,private_room,64.1444,-21.9331,,5.0,True,90,4.76,4599006.0,52026.3,0.186,68,10647.7,ISK
9996054,Entire rental unit,entire_home,64.1444,-21.933,10.0,6.0,True,148,4.92,20724014.0,129720.0,0.381,139,51618.4,ISK
10159198,Entire home,entire_home,64.1427,-21.9331,6.0,2.0,True,241,4.97,11229218.0,56506.4,0.436,159,27697.0,ISK
10209359,Private room in home,private_room,64.1444,-21.933,,6.0,True,143,4.82,6729468.0,66440.6,0.227,83,15996.5,ISK
10279029,Entire rental unit,entire_home,64.1449,-21.9209,6.0,2.0,True,64,4.97,5762746.0,61518.6,0.258,94,15788.3,ISK
10493412,Entire home,entire_home,64.0929,-21.8388,4.0,2.0,True,33,4.97,4788014.0,44627.4,0.425,155,13117.8,ISK
10758750,Entire condo,entire_home,64.1472,-21.9276,6.0,2.0,False,182,4.8,15366761.0,62886.7,0.578,211,39780.2,ISK
10853898,Entire rental unit,entire_home,64.1419,-21.9144,6.0,2.0,True,397,4.77,8536818.0,32871.8,0.704,257,23388.5,ISK
10986870,Entire condo,entire_home,64.147,-21.9304,5.0,4.0,False,1,,1298331.0,75625.4,0.033,12,2486.1,ISK
10991051,Entire condo,entire_home,64.1516,-21.9454,6.0,3.0,True,17,4.94,6289701.0,52731.9,0.296,108,15924.7,ISK
11026367,Private room in house,private_room,64.1463,-21.9361,,,True,169,4.82,491437.0,19805.0,0.06,22,1346.4,ISK
11113813,Entire rental unit,entire_home,64.1446,-21.9327,2.0,,True,326,4.89,4520026.0,22612.6,0.501,183,11332.2,ISK
11140969,Entire rental unit,entire_home,64.15,-21.9792,5.0,2.0,False,65,4.94,3531438.0,30286.3,0.315,115,9370.5,ISK
11209782,Entire rental unit,entire_home,64.1437,-21.921,12.0,4.0,True,171,4.94,25698135.0,128352.9,0.534,195,70405.8,ISK
11250160,Room in bed and breakfast,hotel_room,64.1408,-21.9271,2.0,1.0,True,137,4.85,420225.0,33280.8,0.03,11,1151.3,ISK
11251509,Room in boutique hotel,hotel_room,64.1404,-21.9293,1.0,1.0,True,72,4.9,1549196.0,27745.3,0.145,53,4244.4,ISK
11298870,Entire rental unit,entire_home,64.1512,-21.9442,4.0,1.0,False,682,4.92,4800874.0,32858.4,0.389,142,11974.4,ISK
11300058,Entire rental unit,entire_home,64.1447,-21.9212,14.0,4.0,True,85,4.91,7191510.0,132541.1,0.162,59,19702.8,ISK
11389846,Entire rental unit,entire_home,64.1046,-21.8425,2.0,1.0,False,381,4.85,3229593.0,16433.9,0.499,182,7298.2,ISK
11590767,Entire home,entire_home,64.1396,-21.9177,6.0,3.0,True,216,4.84,610798.0,41043.2,0.038,14,1515.8,ISK
