year,mean_income_kisk_total,population,owner_occupier_pct,n_poor_housing,residential_price_index,cpi,avg_loan_payment_per_10m_isk,dwellings_begun,pop_growth_rate,dwelling_growth_rate,income_idx,price_idx,real_price_index,monthly_income_isk,loan_burden_pct_income,poor_housing_pct,gap,cumulative_gap
2010,4018.0,311890.0,81.3,48235.0,218.4,363.2,57757.35750688348,321.0,-0.006519399962022887,0.009254150178934495,185.41762805722198,208.57606723331105,119.72312775330397,334833.3333333333,17.249584123509255,15.465388438231429,-0.015773550140957382,-0.008550222667901175
2011,4360.0,313210.0,77.9,47813.0,228.51666666666665,377.7,49974.040878051266,142.0,-0.021378854485219145,0.0055453153800493205,201.19981541301337,218.23767230127652,120.45980495984466,363333.3333333333,13.754323177445304,15.265476836627185,-0.026924169865268466,-0.03547439253316964
2012,4569.0,315850.0,77.3,55492.0,244.29999999999998,397.3,49561.83693843776,466.0,0.0065387134969299154,0.009646901651313433,210.84448546377482,233.31104956546653,122.42670526050841,380750.0,13.01689742309593,17.569099255975935,-0.0031081881543835177,-0.03858258068755316
2013,4831.0,319790.0,77.4,54646.0,258.39166666666665,412.7,49500.59742434122,769.0,0.009738291008756006,0.007446841246884217,222.93493308721736,246.76885365931304,124.65660487844275,402583.3333333333,12.295739372637025,17.088089058444606,0.002291449761871789,-0.03629113092568137
2014,5140.0,323120.0,78.2,48955.0,280.15833333333336,421.1,49219.82691526579,582.0,0.014284398858208869,0.007834692568496227,237.19427780341485,267.5564256836342,132.4614679806855,428333.3333333333,11.491010174770224,15.15071799950483,0.006449706289712642,-0.029841424635968727
2015,5465.0,326130.0,77.7,60552.0,303.25,428.0,49413.327505633475,1612.0,0.012188623688084821,0.008539043202860919,252.19197046608213,289.60939738324896,141.06793224299065,455416.6666666667,10.850135957321164,18.56682917854843,0.003649580485223902,-0.026191844150744825
2016,5974.0,332560.0,78.7,59939.0,332.8666666666667,435.3,50455.6838363385,1133.0,0.01360947437792226,0.011043580824737553,275.6806645131518,317.8938655970458,152.2484570028333,497833.3333333333,10.135055340409476,18.023514553764734,0.002565893553184706,-0.02362595059756012
2017,6475.0,342230.0,,66663.0,397.84999999999997,443.0,48546.358165042446,2836.0,0.023718015304179163,0.01371685032583092,298.80018458698663,379.95415910610257,178.8079796839729,539583.3333333334,8.997008463019448,19.479005347281067,0.010001164978348243,-0.013624785619211877
2018,6710.0,349550.0,,66667.0,430.6333333333334,454.8,47624.367341474244,2525.0,0.034014295700015795,0.015554333883085913,309.6446700507614,411.2628529589661,188.52044121958372,559166.6666666666,8.517025456001356,19.072235731654985,0.018459961816929882,0.004835176197718005
2019,6949.0,354110.0,,,449.69166666666666,468.6,46273.5455875558,3792.0,0.024975921786694277,0.02260604704540703,320.67374250115364,429.46391621303286,191.06617762128326,579083.3333333334,7.990826695217579,,0.002369874741287248,0.007205050939005253
2020,7180.0,358340.0,,,478.4916666666666,481.9,39557.76284659273,2406.0,0.015144477105990095,0.02654592423718416,331.333640978311,456.9684525514914,197.6918257591478,598333.3333333334,6.6113252668400095,,-0.011401447131194065,-0.0041963961921888115
2021,7763.0,364970.0,,,538.4583333333334,503.3,37500.578105873516,4338.0,0.012047309003520912,0.022174092409240842,358.2371942778034,514.2377359691848,213.00825385787138,646916.6666666666,5.7968174323133095,,-0.01012678340571993,-0.014323179597908742
2022,8474.0,375270.0,,,651.525,545.1,41689.23355205965,,0.02027010702809795,0.019527124743550894,391.047531149054,622.2185082609111,237.97216565767744,706166.6666666666,5.903596915561906,,0.0007429822845470557,-0.013580197313361686
2023,9347.0,383760.0,,,702.2166666666667,592.8,51678.821513980176,,0.03251919759142119,0.02251794574052579,431.333640978311,670.6299939515488,235.84908625730995,778916.6666666666,6.634704805475149,,0.010001251850895398,-0.0035789454624662875
2024,9973.0,389450.0,,,758.7833333333333,627.5,55664.11867963799,,0.027710886794245493,0.023648060084784595,460.22150438394095,724.6522140515074,240.75499867197874,831083.3333333334,6.697778242812151,,0.004062826709460898,0.00048388124699461077
2025,,394530.0,,,797.8333333333334,653.1,55782.33912517078,,0.01932536557840603,0.021116195807016958,,761.9456912743133,243.22250293472158,,,,-0.001790830228610929,-0.0013069489816163182
2026,,,,,813.1,,,,0.028988906715706086,0.016667078199461782,,776.5256422500239,,,,,0.012321828516244304,0.011014879534627986
2027,,,,,,,,,0.02423315866898479,0.018215378637003843,,,,,,,,
